"","countryyr","sex","age","uni","hs","income","unemp","polinterestd","cyr_n","category","fit","se.fit","residual.scale","UL","LL","predictedprob"
"1","Algeria - 2014",2,18,1,0,4.68333333333333,0,0,1,"College",-1.64526819250143,0.254027130770501,1,0.240968873627525,0.104971998681005,0.161749492832807
"2","Algeria - 2014",2,19,1,0,4.68333333333333,0,0,1,"College",-1.62880438765407,0.252365302069004,1,0.243392658871366,0.106839328991666,0.163994213965079
"3","Algeria - 2014",2,20,1,0,4.68333333333333,0,0,1,"College",-1.61234058280672,0.250856400980892,1,0.245888503156884,0.108706796454282,0.166263907978494
"4","Algeria - 2014",2,21,1,0,4.68333333333333,0,0,1,"College",-1.59587677795936,0.24950320206685,1,0.248458518498902,0.110572847054403,0.168558681191346
"5","Algeria - 2014",2,22,1,0,4.68333333333333,0,0,1,"College",-1.579412973112,0.248308250918001,1,0.251104775675711,0.112435931704641,0.17087863541173
"6","Algeria - 2014",2,23,1,0,4.68333333333333,0,0,1,"College",-1.56294916826464,0.247273841742555,1,0.253829292822689,0.114294515573004,0.173223867794222
"7","Algeria - 2014",2,24,1,0,4.68333333333333,0,0,1,"College",-1.54648536341729,0.246401996440992,1,0.256634023896867,0.116147087521438,0.17559447069594
"8","Algeria - 2014",2,25,1,0,4.68333333333333,0,0,1,"College",-1.53002155856993,0.245694445590272,1,0.259520847165192,0.117992169506681,0.177990531532091
"9","Algeria - 2014",2,26,1,0,4.68333333333333,0,0,1,"College",-1.51355775372257,0.245152611737128,1,0.262491553875723,0.119828325789386,0.180412132631138
"10","Algeria - 2014",2,27,1,0,4.68333333333333,0,0,1,"College",-1.49709394887521,0.244777595365628,1,0.265547837272828,0.121654171796003,0.182859351089691
"11","Algeria - 2014",2,28,1,0,4.68333333333333,0,0,1,"College",-1.48063014402786,0.244570163855369,1,0.268691282114291,0.123468382481382,0.185332258627271
"12","Algeria - 2014",2,29,1,0,4.68333333333333,0,0,1,"College",-1.4641663391805,0.244530743685381,1,0.271923354839987,0.125269700048662,0.18783092144108
"13","Algeria - 2014",2,30,1,0,4.68333333333333,0,0,1,"College",-1.44770253433314,0.244659416066964,1,0.275245394528661,0.12705694089644,0.19035540006089
"14","Algeria - 2014",2,31,1,0,4.68333333333333,0,0,1,"College",-1.43123872948578,0.244955916109308,1,0.278658604761771,0.128829001681116,0.192905749204234
"15","Algeria - 2014",2,32,1,0,4.68333333333333,0,0,1,"College",-1.41477492463843,0.245419635537771,1,0.282164046492012,0.130584864403935,0.195482017632007
"16","Algeria - 2014",2,33,1,0,4.68333333333333,0,0,1,"College",-1.39831111979107,0.246049628900053,1,0.285762631990041,0.132323600456639,0.198084248004656
"17","Algeria - 2014",2,34,1,0,4.68333333333333,0,0,1,"College",-1.38184731494371,0.246844623113479,1,0.289455119916976,0.134044373585827,0.200712476739102
"18","Algeria - 2014",2,35,1,0,4.68333333333333,0,0,1,"College",-1.36538351009635,0.247803030130861,1,0.293242111543729,0.135746441762891,0.20336673386655
"19","Algeria - 2014",2,36,1,0,4.68333333333333,0,0,1,"College",-1.34891970524899,0.248922962435885,1,0.297124048112231,0.1374291579726,0.206047042891363
"20","Algeria - 2014",2,37,1,0,4.68333333333333,0,0,1,"College",-1.33245590040164,0.250202251024041,1,0.301101209309118,0.139091969958049,0.20875342065116
"21","Algeria - 2014",2,38,1,0,4.68333333333333,0,0,1,"College",-1.31599209555428,0.251638465483633,1,0.305173712800546,0.140734418981781,0.211485877178301
"22","Algeria - 2014",2,39,1,0,4.68333333333333,0,0,1,"College",-1.29952829070692,0.253228935764136,1,0.309341514758075,0.142356137681692,0.21424441556295
"23","Algeria - 2014",2,40,1,0,4.68333333333333,0,0,1,"College",-1.28306448585956,0.254970775206368,1,0.313604411290567,0.143956847115399,0.217029031817884
"24","Algeria - 2014",2,41,1,0,4.68333333333333,0,0,1,"College",-1.26660068101221,0.256860904409868,1,0.31796204068615,0.145536353097709,0.219839714745221
"25","Algeria - 2014",2,42,1,0,4.68333333333333,0,0,1,"College",-1.25013687616485,0.258896075526444,1,0.322413886361362,0.147094541942689,0.222676445805271
"26","Algeria - 2014",2,43,1,0,4.68333333333333,0,0,1,"College",-1.23367307131749,0.261072896593178,1,0.326959280411667,0.148631375724755,0.225539198987681
"27","Algeria - 2014",2,44,1,0,4.68333333333333,0,0,1,"College",-1.21720926647013,0.263387855551334,1,0.331597407658139,0.150146887172464,0.228427940685061
"28","Algeria - 2014",2,45,1,0,4.68333333333333,0,0,1,"College",-1.20074546162278,0.265837343637285,1,0.336327310088831,0.151641174304777,0.231342629569293
"29","Algeria - 2014",2,46,1,0,4.68333333333333,0,0,1,"College",-1.18428165677542,0.26841767787563,1,0.341147891599697,0.153114394913054,0.234283216470717
"30","Algeria - 2014",2,47,1,0,4.68333333333333,0,0,1,"College",-1.16781785192806,0.271125122450839,1,0.346057922948195,0.154566760983458,0.237249644260366
"31","Algeria - 2014",2,48,1,0,4.68333333333333,0,0,1,"College",-1.1513540470807,0.273955908780298,1,0.35105604684244,0.155998533144415,0.240241847735483
"32","Algeria - 2014",2,49,1,0,4.68333333333333,0,0,1,"College",-1.13489024223335,0.276906254156736,1,0.356140783099285,0.157410015212859,0.243259753508482
"33","Algeria - 2014",2,50,1,0,4.68333333333333,0,0,1,"College",-1.11842643738599,0.279972378870508,1,0.361310533815579,0.158801548901699,0.246303279899576
"34","Algeria - 2014",2,51,1,0,4.68333333333333,0,0,1,"College",-1.10196263253863,0.283150521761,1,0.366563588507626,0.16017350873967,0.249372336833254
"35","Algeria - 2014",2,52,1,0,4.68333333333333,0,0,1,"College",-1.08549882769127,0.286436954180954,1,0.371898129184126,0.161526297243905,0.252466825738823
"36","Algeria - 2014",2,53,1,0,4.68333333333333,0,0,1,"College",-1.06903502284392,0.289827992387238,1,0.377312235327489,0.162860340375396,0.255586639455193
"37","Algeria - 2014",2,54,1,0,4.68333333333333,0,0,1,"College",-1.05257121799656,0.293320008396617,1,0.382803888766969,0.16417608329822,0.258731662140124
"38","Algeria - 2014",2,55,1,0,4.68333333333333,0,0,1,"College",-1.0361074131492,0.296909439365248,1,0.388370978434683,0.165473986455175,0.261901769184111
"39","Algeria - 2014",2,56,1,0,4.68333333333333,0,0,1,"College",-1.01964360830184,0.30059279556636,1,0.394011305001985,0.166754521965222,0.26509682712913
"40","Algeria - 2014",2,57,1,0,4.68333333333333,0,0,1,"College",-1.00317980345449,0.304366667052148,1,0.399722585399011,0.168018170342044,0.268316693592408
"41","Algeria - 2014",2,58,1,0,4.68333333333333,0,0,1,"College",-0.986715998607129,0.308227729093744,1,0.405502457224395,0.169265417527969,0.27156121719543
"42","Algeria - 2014",2,59,1,0,4.68333333333333,0,0,1,"College",-0.970252193759771,0.312172746497767,1,0.411348483055405,0.170496752233427,0.274830237498374
"43","Algeria - 2014",2,60,1,0,4.68333333333333,0,0,1,"College",-0.953788388912413,0.316198576899789,1,0.417258154670933,0.17171266356894,0.278123584940144
"44","Algeria - 2014",2,61,1,0,4.68333333333333,0,0,1,"College",-0.937324584065056,0.320302173134626,1,0.423228897201242,0.172913638954344,0.281441080784201
"45","Algeria - 2014",2,62,1,0,4.68333333333333,0,0,1,"College",-0.920860779217698,0.324480584781118,1,0.429258073218997,0.174100162288281,0.284782537070359
"46","Algeria - 2014",2,63,1,0,4.68333333333333,0,0,1,"College",-0.904396974370341,0.328730958975341,1,0.435342986786175,0.175272712360005,0.288147756572737
"47","Algeria - 2014",2,64,1,0,4.68333333333333,0,0,1,"College",-0.887933169522983,0.333050540581484,1,0.441480887470958,0.176431761485077,0.291536532764022
